id,Season,city,team1,team2,toss_winner,toss_decision,winner,win_by_runs,player_of_match,venue,umpire
1,IPL-2017,Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,35,Yuvraj Singh,"Rajiv Gandhi International Stadium, Uppal",AY Dandekar
2,IPL-2017,Pune,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,field,Rising Pune Supergiant,0,SPD Smith,Maharashtra Cricket Association Stadium,A Nand Kishore
3,IPL-2017,Rajkot,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,CA Lynn,Saurashtra Cricket Association Stadium,Nitin Menon
4,IPL-2017,Indore,Rising Pune Supergiant,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,0,GJ Maxwell,Holkar Cricket Stadium,AK Chaudhary
5,IPL-2017,Bangalore,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,15,KM Jadhav,M Chinnaswamy Stadium,
6,IPL-2017,Hyderabad,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,Rashid Khan,"Rajiv Gandhi International Stadium, Uppal",A Deshmukh
7,IPL-2017,Mumbai,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,N Rana,Wankhede Stadium,Nitin Menon
8,IPL-2017,Indore,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Kings XI Punjab,0,AR Patel,Holkar Cricket Stadium,AK Chaudhary
9,IPL-2017,Pune,Delhi Daredevils,Rising Pune Supergiant,Rising Pune Supergiant,field,Delhi Daredevils,97,SV Samson,Maharashtra Cricket Association Stadium,AY Dandekar
10,IPL-2017,Mumbai,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,JJ Bumrah,Wankhede Stadium,Nitin Menon
11,IPL-2017,Kolkata,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,SP Narine,Eden Gardens,A Deshmukh
12,IPL-2017,Bangalore,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,KA Pollard,M Chinnaswamy Stadium,KN Ananthapadmanabhan
13,IPL-2017,Rajkot,Rising Pune Supergiant,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,0,AJ Tye,Saurashtra Cricket Association Stadium,A Nand Kishore
